,Confirmed,Country/Region,Deaths,Date,region,Recovered,Suspected,Time,Latitude,Longitude,Y,M,D,date_new
1047,24.0,Singapore,0.0,2-4-20,Singapore,0.0,0.0,15:33,1.357107,103.8194992,2020,02,04,04-02-2020
1048,22.0,Japan,0.0,2-4-20,Japan,1.0,0.0,16:43,36.5748441,139.2394179,2020,02,04,04-02-2020
1049,18.0,Hong Kong,1.0,2-5-20,Hong Kong,0.0,0.0,2:33,22.2793278,114.1628131,2020,02,05,05-02-2020
1050,17.0,Mainland China,0.0,2-5-20,Qinghai,0.0,0.0,1:23,35.40709525,95.95211573241954,2020,02,05,05-02-2020
1051,16.0,South Korea,0.0,2-4-20,South Korea,0.0,0.0,15:33,36.638392,127.6961188,2020,02,04,04-02-2020
1052,12.0,Germany,0.0,2-3-20,Germany,0.0,0.0,20:53,51.0834196,10.4234469,2020,02,03,03-02-2020
1053,11.0,Taiwan,0.0,2-4-20,Taiwan,0.0,0.0,14:53,23.9739374,120.9820179,2020,02,04,04-02-2020
1054,10.0,Macau,0.0,2-4-20,Macau,0.0,0.0,4:43,22.1757605,113.5514142,2020,02,04,04-02-2020
1055,10.0,Malaysia,0.0,2-4-20,Malaysia,0.0,0.0,7:33,4.5693754,102.2656823,2020,02,04,04-02-2020
1056,8.0,Vietnam,0.0,2-3-20,Vietnam,1.0,0.0,21:43,13.2904027,108.4265113,2020,02,03,03-02-2020
1057,6.0,France,0.0,2-1-20,France,0.0,0.0,1:52,46.603354,1.8883335,2020,02,01,01-02-2020
1058,5.0,United Arab Emirates,0.0,2-2-20,United Arab Emirates,0.0,0.0,5:43,24.0002488,53.9994829,2020,02,02,02-02-2020
1059,4.0,Australia,0.0,2-1-20,New South Wales,2.0,0.0,18:12,-31.8759835,147.2869493,2020,02,01,01-02-2020
1060,4.0,Australia,0.0,2-1-20,Victoria,0.0,0.0,18:12,-36.5986096,144.6780052,2020,02,01,01-02-2020
1061,3.0,Australia,0.0,2-4-20,Queensland,0.0,0.0,16:53,-22.1646782,144.5844903,2020,02,04,04-02-2020
1062,3.0,India,0.0,2-3-20,India,0.0,0.0,21:43,22.3511148,78.6677428,2020,02,03,03-02-2020
1063,2.0,Australia,0.0,2-2-20,South Australia,0.0,0.0,22:33,-30.5343665,135.6301212,2020,02,02,02-02-2020
1064,2.0,Canada,0.0,2-4-20,"Toronto, ON",0.0,0.0,0:13,43.653963,-79.387207,2020,02,04,04-02-2020
1065,2.0,Italy,0.0,1-31-20,Italy,0.0,0.0,8:15,42.6384261,12.674297,2020,01,31,31-01-2020
1066,2.0,Philippines,1.0,2-2-20,Philippines,0.0,0.0,3:33,12.7503486,122.7312101,2020,02,02,02-02-2020
1067,2.0,Russia,0.0,1-31-20,Russia,0.0,0.0,16:13,64.6863136,97.7453061,2020,01,31,31-01-2020
1068,2.0,UK,0.0,2-1-20,UK,0.0,0.0,1:52,54.7023545,-3.2765753,2020,02,01,01-02-2020
1069,2.0,US,0.0,2-1-20,"Chicago, IL",0.0,0.0,19:43,41.8755616,-87.6244212,2020,02,01,01-02-2020
1070,2.0,US,0.0,2-3-20,"San Benito, CA",0.0,0.0,3:53,36.6248089,-121.1177379,2020,02,03,03-02-2020
1071,2.0,US,0.0,2-3-20,"Santa Clara, CA",0.0,0.0,0:43,37.2333253,-121.6846349,2020,02,03,03-02-2020
1072,1.0,Belgium,0.0,2-4-20,Belgium,0.0,0.0,15:43,50.6402809,4.6667145,2020,02,04,04-02-2020
1073,1.0,Cambodia,0.0,1-31-20,Cambodia,0.0,0.0,8:15,13.5066394,104.869423,2020,01,31,31-01-2020
1074,1.0,Canada,0.0,2-1-20,British Columbia,0.0,0.0,18:12,55.001251,-125.002441,2020,02,01,01-02-2020
1075,1.0,Canada,0.0,2-4-20,"London, ON",0.0,0.0,0:03,42.9836747,-81.2496068,2020,02,04,04-02-2020
1076,1.0,Finland,0.0,1-31-20,Finland,0.0,0.0,8:15,63.2467777,25.9209164,2020,01,31,31-01-2020
1077,1.0,Mainland China,0.0,2-1-20,Tibet,0.0,0.0,1:52,31.894343149999997,87.07813712706509,2020,02,01,01-02-2020
1078,1.0,Nepal,0.0,1-31-20,Nepal,0.0,0.0,8:15,28.1083929,84.0917139,2020,01,31,31-01-2020
1079,1.0,Spain,0.0,2-1-20,Spain,0.0,0.0,23:43,39.3262345,-4.8380649,2020,02,01,01-02-2020
1080,1.0,Sri Lanka,0.0,1-31-20,Sri Lanka,0.0,0.0,8:15,7.5554942,80.7137847,2020,01,31,31-01-2020
1081,1.0,Sweden,0.0,2-1-20,Sweden,0.0,0.0,2:13,59.6749712,14.5208584,2020,02,01,01-02-2020
1082,1.0,US,0.0,2-1-20,"Boston, MA",0.0,0.0,19:43,42.3602534,-71.0582912,2020,02,01,01-02-2020
1083,1.0,US,0.0,2-1-20,"Los Angeles, CA",0.0,0.0,19:53,34.0536909,-118.2427666,2020,02,01,01-02-2020
1084,1.0,US,0.0,2-1-20,"Orange, CA",0.0,0.0,19:53,45.8413676,-74.2168946,2020,02,01,01-02-2020
1085,1.0,US,0.0,2-1-20,"Seattle, WA",0.0,0.0,19:43,47.6038321,-122.3300624,2020,02,01,01-02-2020
1086,1.0,US,0.0,2-1-20,"Tempe, AZ",0.0,0.0,19:43,33.4255056,-111.9400125,2020,02,01,01-02-2020
1087,2714.0,Mainland China,100.0,1-28-20,Hubei,52.0,0.0,13:00,31.15172525,112.87832224656043,2020,01,28,28-01-2020
1088,207.0,Mainland China,0.0,1-28-20,Guangdong,4.0,0.0,13:00,23.1357694,113.1982688,2020,01,28,28-01-2020
1089,173.0,Mainland China,0.0,1-28-20,Zhejiang,3.0,0.0,13:00,29.0000001,119.9999999,2020,01,28,28-01-2020
1090,168.0,Mainland China,1.0,1-28-20,Henan,0.0,0.0,13:00,34.0000001,113.9999999,2020,01,28,28-01-2020
1091,143.0,Mainland China,0.0,1-28-20,Hunan,0.0,0.0,13:00,27.9995878,112.009538,2020,01,28,28-01-2020
1092,132.0,Mainland China,0.0,1-28-20,Chongqing,0.0,0.0,13:00,29.5585712,106.5492822,2020,01,28,28-01-2020
1093,106.0,Mainland China,0.0,1-28-20,Anhui,0.0,0.0,13:00,32.0,117.0,2020,01,28,28-01-2020
1094,95.0,Mainland China,0.0,1-28-20,Shandong,0.0,0.0,13:00,36.0000001,118.9999999,2020,01,28,28-01-2020
1095,91.0,Mainland China,1.0,1-28-20,Beijing,4.0,0.0,13:00,39.906217,116.3912757,2020,01,28,28-01-2020
1096,90.0,Mainland China,0.0,1-28-20,Sichuan,0.0,0.0,13:00,30.5000001,102.4999999,2020,01,28,28-01-2020
1097,80.0,Mainland China,0.0,1-28-20,Fujian,0.0,0.0,13:00,26.5450001,117.842778,2020,01,28,28-01-2020
1098,72.0,Mainland China,0.0,1-28-20,Jiangxi,3.0,0.0,13:00,28.0,116.0,2020,01,28,28-01-2020
1099,70.0,Mainland China,0.0,1-28-20,Jiangsu,1.0,0.0,13:00,33.0000001,119.9999999,2020,01,28,28-01-2020
1100,66.0,Mainland China,1.0,1-28-20,Shanghai,4.0,0.0,13:00,31.2322758,121.4692071,2020,01,28,28-01-2020
1101,51.0,Mainland China,0.0,1-28-20,Guangxi,2.0,0.0,13:00,24.0,109.0,2020,01,28,28-01-2020
1102,46.0,Mainland China,0.0,1-28-20,Shaanxi,0.0,0.0,13:00,36.0,109.0,2020,01,28,28-01-2020
1103,44.0,Mainland China,0.0,1-28-20,Yunnan,0.0,0.0,13:00,25.0,102.0,2020,01,28,28-01-2020
1104,40.0,Mainland China,1.0,1-28-20,Hainan,0.0,0.0,13:00,19.2000001,109.5999999,2020,01,28,28-01-2020
