,Confirmed,Country/Region,Deaths,Date,region,Recovered,Suspected,Time,Latitude,Longitude,Y,M,D,date_new
943,1.0,US,0.0,2020-02-01,"Orange, CA",0.0,0.0,19:53:03,45.8413676,-74.2168946,2020,02,01,01-02-2020
944,1.0,US,0.0,2020-02-11,"San Diego County, CA",0.0,0.0,01:23:05,32.9637838,-116.7706277,2020,02,11,11-02-2020
945,1.0,US,0.0,2020-02-09,"Seattle, WA",1.0,0.0,07:03:04,47.6038321,-122.3300624,2020,02,09,09-02-2020
946,1.0,US,0.0,2020-02-01,"Tempe, AZ",0.0,0.0,19:43:03,33.4255056,-111.9400125,2020,02,01,01-02-2020
947,13522.0,Mainland China,414.0,2-4-20,Hubei,397.0,0.0,9:43,31.15172525,112.87832224656043,2020,02,04,04-02-2020
948,829.0,Mainland China,0.0,2-4-20,Zhejiang,62.0,0.0,13:03,29.0000001,119.9999999,2020,02,04,04-02-2020
949,813.0,Mainland China,0.0,2-4-20,Guangdong,30.0,0.0,13:03,23.1357694,113.1982688,2020,02,04,04-02-2020
950,675.0,Mainland China,2.0,2-4-20,Henan,27.0,0.0,11:53,34.0000001,113.9999999,2020,02,04,04-02-2020
951,593.0,Mainland China,0.0,2-4-20,Hunan,31.0,0.0,14:03,27.9995878,112.009538,2020,02,04,04-02-2020
952,480.0,Mainland China,0.0,2-4-20,Anhui,20.0,0.0,5:33,32.0,117.0,2020,02,04,04-02-2020
953,476.0,Mainland China,0.0,2-4-20,Jiangxi,20.0,0.0,14:43,28.0,116.0,2020,02,04,04-02-2020
954,344.0,Mainland China,2.0,2-4-20,Chongqing,9.0,0.0,8:23,29.5585712,106.5492822,2020,02,04,04-02-2020
955,308.0,Mainland China,0.0,2-4-20,Jiangsu,12.0,0.0,11:53,33.0000001,119.9999999,2020,02,04,04-02-2020
956,282.0,Mainland China,1.0,2-4-20,Sichuan,14.0,0.0,1:43,30.5000001,102.4999999,2020,02,04,04-02-2020
957,275.0,Mainland China,0.0,2-4-20,Shandong,11.0,0.0,12:03,36.0000001,118.9999999,2020,02,04,04-02-2020
958,228.0,Mainland China,1.0,2-4-20,Beijing,23.0,0.0,8:33,39.906217,116.3912757,2020,02,04,04-02-2020
959,219.0,Mainland China,1.0,2-4-20,Shanghai,12.0,0.0,6:33,31.2322758,121.4692071,2020,02,04,04-02-2020
960,194.0,Mainland China,0.0,2-4-20,Fujian,3.0,0.0,12:13,26.5450001,117.842778,2020,02,04,04-02-2020
961,155.0,Mainland China,2.0,2-4-20,Heilongjiang,4.0,0.0,7:43,48.0000047,127.999992,2020,02,04,04-02-2020
962,142.0,Mainland China,0.0,2-4-20,Shaanxi,2.0,0.0,12:33,36.0,109.0,2020,02,04,04-02-2020
963,139.0,Mainland China,0.0,2-4-20,Guangxi,10.0,0.0,5:53,24.0,109.0,2020,02,04,04-02-2020
964,126.0,Mainland China,1.0,2-4-20,Hebei,4.0,0.0,8:53,39.0000001,116.0,2020,02,04,04-02-2020
965,119.0,Mainland China,0.0,2-4-20,Yunnan,5.0,0.0,7:03,25.0,102.0,2020,02,04,04-02-2020
966,81.0,Mainland China,0.0,2-4-20,Liaoning,2.0,0.0,14:13,40.9975197,122.9955469,2020,02,04,04-02-2020
967,80.0,Mainland China,1.0,2-4-20,Hainan,5.0,0.0,11:33,19.2000001,109.5999999,2020,02,04,04-02-2020
968,74.0,Mainland China,0.0,2-4-20,Shanxi,4.0,0.0,12:33,37.0,112.0,2020,02,04,04-02-2020
969,67.0,Mainland China,0.0,2-4-20,Tianjin,2.0,0.0,13:33,39.1235635,117.1980785,2020,02,04,04-02-2020
970,58.0,Mainland China,0.0,2-4-20,Guizhou,2.0,0.0,10:43,27.0,107.0,2020,02,04,04-02-2020
971,57.0,Mainland China,0.0,2-4-20,Gansu,4.0,0.0,15:43,38.0000001,101.9999999,2020,02,04,04-02-2020
972,42.0,Mainland China,0.0,2-4-20,Jilin,1.0,0.0,0:23,42.9995032,125.9816054,2020,02,04,04-02-2020
